,California_Peaks,California_Hourly
July,0.9148873476045182,0.9685033176504565
August,0.8784769754445817,0.9663761669154378
September,0.9105022240533744,0.9668671638052881
October,0.9561467690978206,0.9707261455980734
November,0.8612056486808882,0.9408435647410032
December,0.8713257056117886,0.9050210789029811
January,0.7983950698990192,0.7595859765023649
February,0.6057933316506386,0.6550130939271134
March,0.4284977260041563,0.674171293901207
April,0.8609880201569302,0.9269601290539716
May,0.938671824273642,0.9528366651460093
June,0.9514655504193499,0.9729172865872238
