,Central_Peaks,Central_Hourly
July,0.15428647350297614,0.36977098594423624
August,0.6925175830002553,0.9159506525342922
September,0.6976455942329891,0.7114619864568396
October,0.851471107397521,0.7554856392401795
November,0.7528850084084838,0.8473565183436962
December,0.5858599351712607,0.5115093153306943
January,0.8255807741447342,0.850754154074874
February,0.9109028643493591,0.5535533964536812
March,0.8102558225329952,0.5998481448586089
April,0.6838643024476196,0.4628579811955477
May,0.8534771051319322,0.5490736207893951
June,0.8552020243985486,0.8523441996165532
