,Florida_Peaks,Florida_Hourly
July,0.57203270748117,0.948513803154414
August,0.6527116929264069,0.9567256883836284
September,0.7185664351708643,0.9462291317850451
October,0.8582999472366781,0.9661272290034271
November,0.5501771807996971,0.6454820034634158
December,0.8615060743993663,0.9231097881558649
January,0.8837579421620146,0.9156112148115443
February,0.9040666378564368,0.943566185554711
March,0.8694521698087886,0.9316208021605992
April,0.8051938666667254,0.9558647867541484
May,0.7631546824346084,0.9526421776907917
June,0.6830935830605663,0.9469753444254168
