,Mid-Atlantic_Peaks,Mid-Atlantic_Hourly
July,0.3159085614282467,0.47969555899612415
August,0.9356253322543543,
September,0.96665782110272,0.9590198238217945
October,0.9674519185840016,0.9548225509275553
November,0.863164595888444,
December,0.8171134818756436,0.9011627094532537
January,0.9519117953244067,0.9354620370286774
February,0.8902020025903489,0.9151951629588189
March,0.9405058335729694,
April,0.24941149033738802,0.8402392561025751
May,0.9725945731579706,0.9491503411610348
June,0.9481411583901642,0.9356525974603553
