,New_England_Peaks,New_England_Hourly
July,0.9698907617996412,0.973852466288417
August,0.9702420124617102,0.9759234447337828
September,0.97571108106394,0.9735711686716035
October,0.9019839218246698,0.9693731913886936
November,0.9441318602616228,0.9683773868269323
December,0.956010884333258,0.9665706165228753
January,0.9531881790176959,0.9723640355120912
February,0.9469061826865667,0.9642805500841363
March,0.953718733322294,0.9580900063273087
April,0.9522060646693249,0.9565127707986869
May,0.9722096359450089,0.9689253550191402
June,0.9745329632916591,0.9780655125880342
