,New_York_Peaks,New_York_Hourly
July,0.8925996144698725,0.8541543667494711
August,0.9298531509239043,0.8320915915318361
September,0.9407586245449202,0.9667500691531146
October,0.8597361756921625,0.753036028231551
November,0.9460442144956694,0.9825884488943614
December,0.8473207969214271,0.7458418729207448
January,0.8953327894998356,0.7539625503509917
February,0.881651318559697,0.6930653517380784
March,0.918315607987979,0.9582242181209061
April,0.8595713041362991,0.9208764364826977
May,0.9215489599353338,0.9637042293042862
June,0.946545858764758,0.9743188074253523
