,Southwest_Peaks,Southwest_Hourly
July,0.0537149537018311,0.7264773014411574
August,0.0011399021139626483,0.26945265918280065
September,0.006581903496566525,0.2524350013705746
October,0.00017124662909931166,0.20222291869505826
November,0.017778263803401105,0.07798693986657804
December,0.0022970982610043007,0.13931056957072158
January,0.00918059747550132,0.2806776714559362
February,0.05959878340675972,0.23039733044756594
March,0.0024178108657623336,0.07327456134338002
April,0.007644661586146317,0.16940421597760014
May,0.036009121925973636,0.2584547792044745
June,0.0003191045239404569,0.15501923417164848
